budget,strategy,hit_rate
2,uniform,0.13672438672438672
2,geometric,0.1288961038961039
4,uniform,0.14027777777777778
4,geometric,0.19583333333333333
8,uniform,0.3854312354312354
8,geometric,0.31876456876456877
16,uniform,0.3125
16,geometric,0.3125
32,uniform,0.6185515873015873
32,geometric,0.5754419191919192
