budget,hit_rate,acceptance_rate
0,0.0,0.3410714285714286
2,0.13672438672438672,0.39781746031746035
4,0.14027777777777778,0.3295138888888889
8,0.3854312354312354,0.28012820512820513
16,0.3125,0.40625
32,0.6185515873015873,0.39340277777777777
